asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 01gDLZsi0j5fWC28FLPNO8. Link: https://api.spotify.com/v1/tracks/01gDLZsi0j5fWC28FLPNO8
root - INFO - Track: 7zrPswSV1yxrill5OyCuaU. Link: https://api.spotify.com/v1/tracks/7zrPswSV1yxrill5OyCuaU
root - INFO - Track: 42RQ7y3irkGGTwc4QUVhH9. Link: https://api.spotify.com/v1/tracks/42RQ7y3irkGGTwc4QUVhH9
root - INFO - Track: 2ouFIPC3O1HNBcVTw1d9AN. Link: https://api.spotify.com/v1/tracks/2ouFIPC3O1HNBcVTw1d9AN
root - INFO - Track: 3luduyy8gwkqMunb82OJZx. Link: https://api.spotify.com/v1/tracks/3luduyy8gwkqMunb82OJZx
root - INFO - Track: 7gmB6hVMsv0XbjfiTgpATI. Link: https://api.spotify.com/v1/tracks/7gmB6hVMsv0XbjfiTgpATI
root - INFO - Track: 0zBNc7XcWXNHxeszwFsKiL. Link: https://api.spotify.com/v1/tracks/0zBNc7XcWXNHxeszwFsKiL
root - INFO - Track: 5wdlG60d0WHoo8P3QzrlbG. Link: https://api.spotify.com/v1/tracks/5wdlG60d0WHoo8P3QzrlbG
root - INFO - Track: 4pbZcKtuu2GuX5hbrxkSUc. Link: https://api.spotify.com/v1/tracks/4pbZcKtuu2GuX5hbrxkSUc
root - INFO - Track: 7J8F8mHNV79WSV3N2lVwHH. Link: https://api.spotify.com/v1/tracks/7J8F8mHNV79WSV3N2lVwHH
root - INFO - Track: 72aE17MO1hgAziGJa6bQQe. Link: https://api.spotify.com/v1/tracks/72aE17MO1hgAziGJa6bQQe
root - INFO - Track: 40jEm1EOTMWvjuoDnGUWDN. Link: https://api.spotify.com/v1/tracks/40jEm1EOTMWvjuoDnGUWDN
root - INFO - Track: 2d0pTlYw1nEPQnE3gX2R8X. Link: https://api.spotify.com/v1/tracks/2d0pTlYw1nEPQnE3gX2R8X
root - INFO - Track: 0mys3NInPO6UDNNrWGt7of. Link: https://api.spotify.com/v1/tracks/0mys3NInPO6UDNNrWGt7of
root - INFO - Track: 6HvbwjZsvMX3Bbf9mcnjFo. Link: https://api.spotify.com/v1/tracks/6HvbwjZsvMX3Bbf9mcnjFo
root - INFO - Track: 75txMkFjrPghmsP0mt9QaU. Link: https://api.spotify.com/v1/tracks/75txMkFjrPghmsP0mt9QaU
root - INFO - Track: 1AcKboMkn1HekyJSlKKEc3. Link: https://api.spotify.com/v1/tracks/1AcKboMkn1HekyJSlKKEc3
root - INFO - Track: 1xWH8zYtDeS9mW1JJG23VZ. Link: https://api.spotify.com/v1/tracks/1xWH8zYtDeS9mW1JJG23VZ
root - INFO - Track: 2fdfsGuqb6SBX5ocoBWHUd. Link: https://api.spotify.com/v1/tracks/2fdfsGuqb6SBX5ocoBWHUd
root - INFO - Track: 31AOj9sFz2gM0O3hMARRBx. Link: https://api.spotify.com/v1/tracks/31AOj9sFz2gM0O3hMARRBx
root - INFO - Track: 4jLv3tDBu8ww2R07DvL12s. Link: https://api.spotify.com/v1/tracks/4jLv3tDBu8ww2R07DvL12s
root - INFO - Track: 3geRffSf6eAruhg23RkpKV. Link: https://api.spotify.com/v1/tracks/3geRffSf6eAruhg23RkpKV
root - INFO - Track: 2oSpQ7QtIKTNFfA08Cy0ku. Link: https://api.spotify.com/v1/tracks/2oSpQ7QtIKTNFfA08Cy0ku
root - INFO - Track: 6PypGyiu0Y2lCDBN1XZEnP. Link: https://api.spotify.com/v1/tracks/6PypGyiu0Y2lCDBN1XZEnP
root - INFO - Track: 22UhQSbYimuCnvI0Y07gFX. Link: https://api.spotify.com/v1/tracks/22UhQSbYimuCnvI0Y07gFX
root - INFO - Track: 7707eDBpR4qtNFoQ6nQyeR. Link: https://api.spotify.com/v1/tracks/7707eDBpR4qtNFoQ6nQyeR
